count,series,collection,Question,Answer
1,Raw,/3,name,Asuka
1,Raw,/5,name,Asuka
1,Raw,/10,name,Asuka
1,Raw,1/1,name,Asuka
1,Raw,/15,name,Asuka
33,Raw,/15,name,Asuka
33,Raw,/8,name,Asuka
33,Raw,/5,name,Asuka
33,Raw,/10,name,Asuka
33,Raw,1/1,name,Asuka
13,Raw,1/1,name,Asuka
17,Raw,/25,name,Asuka
17,Raw,/8,name,Asuka
17,Raw,/5,name,Asuka
17,Raw,/10,name,Asuka
17,Raw,1/1,name,Asuka
17,Raw,/15,name,Asuka
Card Number,Team,Sequence,name,Athlete
18,SmackDown,/25,name,Austin Theory
18,SmackDown,/8,name,Austin Theory
18,SmackDown,/5,name,Austin Theory
18,SmackDown,/10,name,Austin Theory
18,SmackDown,1/1,name,Austin Theory
18,SmackDown,/15,name,Austin Theory
36,SmackDown,/15,name,Austin Theory
36,SmackDown,/6,name,Austin Theory
36,SmackDown,/3,name,Austin Theory
36,SmackDown,/10,name,Austin Theory
36,SmackDown,1/1,name,Austin Theory
10,SmackDown,/25,name,Austin Theory
10,SmackDown,/8,name,Austin Theory
10,SmackDown,/5,name,Austin Theory
10,SmackDown,/10,name,Austin Theory
10,SmackDown,1/1,name,Austin Theory
10,SmackDown,/15,name,Austin Theory
19,SmackDown,/25,name,Austin Theory
19,SmackDown,/8,name,Austin Theory
19,SmackDown,/5,name,Austin Theory
19,SmackDown,1/1,name,Austin Theory
14,SmackDown,1/1,name,Austin Theory
34,SmackDown,/25,name,Austin Theory
34,SmackDown,/8,name,Austin Theory
34,SmackDown,/3,name,Austin Theory
34,SmackDown,/5,name,Austin Theory
34,SmackDown,/10,name,Austin Theory
34,SmackDown,1/1,name,Austin Theory
34,SmackDown,/15,name,Austin Theory
1,NXT,1/1,name,Ava
44,NXT,/25,name,Ava
44,NXT,/8,name,Ava
44,NXT,/3,name,Ava
44,NXT,/5,name,Ava
44,NXT,/10,name,Ava
44,NXT,1/1,name,Ava
44,NXT,/15,name,Ava
62,Legend,/25,name,Bam Bam Bigelow
62,Legend,/8,name,Bam Bam Bigelow
62,Legend,/5,name,Bam Bam Bigelow
62,Legend,/10,name,Bam Bam Bigelow
62,Legend,1/1,name,Bam Bam Bigelow
62,Legend,/15,name,Bam Bam Bigelow
55,Legend,/25,name,Batista
55,Legend,/8,name,Batista
55,Legend,/5,name,Batista
55,Legend,/10,name,Batista
55,Legend,1/1,name,Batista
55,Legend,/15,name,Batista
20,Legend,/15,name,Batista
20,Legend,/6,name,Batista
20,Legend,/3,name,Batista
20,Legend,/10,name,Batista
20,Legend,1/1,name,Batista
18,Legend,1/1,name,Batista
2,Legend / SmackDown / Legend,/10,name,Batista / Randy Orton / Triple H
2,Legend / SmackDown / Legend,1/1,name,Batista / Randy Orton / Triple H
40,SmackDown,/25,name,Bayley
40,SmackDown,/8,name,Bayley
40,SmackDown,/5,name,Bayley
40,SmackDown,/10,name,Bayley
40,SmackDown,1/1,name,Bayley
40,SmackDown,/15,name,Bayley
4,SmackDown,/25,name,Bayley
4,SmackDown,/8,name,Bayley
4,SmackDown,/5,name,Bayley
4,SmackDown,/10,name,Bayley
4,SmackDown,1/1,name,Bayley
4,SmackDown,/15,name,Bayley
4,SmackDown,/20,name,Bayley
8,SmackDown,/15,name,Bayley
8,SmackDown,/6,name,Bayley
8,SmackDown,/3,name,Bayley
8,SmackDown,/10,name,Bayley
8,SmackDown,1/1,name,Bayley
20,SmackDown,/25,name,Bayley
20,SmackDown,/8,name,Bayley
20,SmackDown,/5,name,Bayley
20,SmackDown,/10,name,Bayley
20,SmackDown,/15,name,Bayley
16,SmackDown,/25,name,Bayley
16,SmackDown,/8,name,Bayley
16,SmackDown,/5,name,Bayley
16,SmackDown,/10,name,Bayley
16,SmackDown,1/1,name,Bayley
16,SmackDown,/15,name,Bayley
16,SmackDown,/20,name,Bayley
